Fornavne til kvinder pr. 1. januar 2014

Navn	ANTAL
LIZZI	948
VIGGA	941
SUSSIE	936
AYA	933
EMMY	930
BENEDICTE	925
GERTRUD	903
MIRIAM	899
SISSEL	897
MIRA	895
BRITA	894
ANNE-GRETHE	888
AYSE	886
JUNE	881
LINETTE	865
KATHE	864
VICKI	862
SILJA	855
PETRA	846
KIA	844
AMINA	842
LYDIA	842
LISETTE	834
KATHARINA	823
TINNA	822
SANDIE	818
KAYA	815
LEILA	815
NATALIA	814
DORIT	803
JOANNA	797
MERETHE	797
BOLETTE	796
VIKTORIA	793
JULIANE	792
ERIKA	787
LINEA	786
ANA	783
MICHELLA	782
KAMILLE	777
MICHALA	769
EVY	765
DORA	760
MARTA	756
MARIANE	750
THERESA	745
ENA	743
ELSE-MARIE	742
VANESSA	737
AUGUSTA	736
ALBA	734
SUZANNE	733
DANIELLA	727
VINNI	725
ÅSE	725
BIRGITH	719
LINNEA	718
SIRI	713
HILDA	706
MAGDA	690
KATARZYNA	685
LILI	680
STEFANIE	680
ZENIA	673
MOLLY	670
ZAHRA	669
ANN-SOFIE	660
TANIA	660
LONNI	658
INGERLISE	650
STINNE	648
AGNIESZKA	642
ELVIRA	642
KATARINA	641
KIT	641
JUTTA	639
DIDDE	636
SOLVEJ	632
LUISE	627
JEANET	624
ISABELL	622
MARTINE	620
TERESA	617
VINNIE	617
RAGNA	616
VALBORG	615
XENIA	615
SIDSE	614
ELINE	613
ELLINOR	611
MONIQUE	605
SUSIE	603
JACQUELINE	599
CILLE	593
MAGDALENA	592
HATICE	591
KARNA	589
EMINE	587
LUCCA	587
NETE	585
NIKITA	584
GERD	581
INGER-LISE	579
PAULA	577
SELINA	577
META	575
LISSIE	574
URSULA	572
MELINA	570
CATHARINA	569
FIONA	569
LEONORA	568
MARYAM	567
BIBI	565
CATRINE	562
DENISE	561
THORA	556
ALEKSANDRA	555
ALINA	555
TANYA	549
BRIT	544
LENETTE	544
MAIA	541
LAJLA	540
LIZETTE	540
GHITA	538
MALGORZATA	533
NORMA	533
VIBE	533
NAYA	531
AISHA	528
ELLIS	526
HJØRDIS	525
MARTINA	525
EWA	522
GABRIELLA	521
MARION	521
LILY	520
JILL	517
DORTHEA	516
JESSIE	516
ANNA-LISE	515
IMAN	514
SHEILA	508
DANIELA	506
MICHAELA	505
MIKKELINE	502
PAULINE	502
VILMA	502
ELI	500
VERONICA	500
VICKY	500
NATACHA	499
LARA	498
POULA	496
BONNIE	493
ZEYNEP	493
MILLA	492
