Efternavne pr. 1. januar 2014

Navn	ANTAL
BROGAARD	1116
WIND	1111
HAUGE	1104
FOGH	1092
KRONBORG	1091
HUSSEIN	1085
LEHMANN	1080
LE	1078
BAGGER	1076
VANG	1073
HAAGENSEN	1072
KRARUP	1072
ODGAARD	1072
WILLUMSEN	1071
LUNDBERG	1068
SANDBERG	1059
LUNDSGAARD	1058
STRØM	1046
ASTRUP	1045
VOSS	1044
WÜRTZ	1040
BAGER	1034
DREJER	1032
NØRSKOV	1032
WEBER	1030
BØDKER	1028
WOLFF	1027
YILMAZ	1027
SEVERINSEN	1025
GROTH	1021
IBRAHIM	1020
QVIST	1020
KROGSGAARD	1019
BOISEN	1017
JÆGER	1015
KRAMER	1009
BENGTSSON	1005
KELLER	1004
SCHWARTZ	1004
BØGH	1002
KILIC	999
DUPONT	998
BRO	997
KOCK	995
MARTINUSSEN	995
GUNDERSEN	993
CARLSSON	983
SCHNEIDER	973
BLOM	972
SKØTT	971
KRAGELUND	963
TOLSTRUP	963
LINDEGAARD	957
LUNDGAARD	956
CELIK	953
LINDHOLM	950
HUSTED	948
KAAS	947
KJELDGAARD	946
MEIER	946
BERGMANN	945
BJERRUM	943
BUUS	937
SANDER	934
ROSENKILDE	931
RYTTER	931
VAD	930
JÜRGENSEN	924
ROSENDAHL	920
HOLT	919
JOSEFSEN	917
KRAG	913
JONASSEN	910
PHAM	909
TERKELSEN	908
BAGGE	907
HANSSON	906
JUST	906
NICOLAJSEN	902
NYBORG	900
DIDERIKSEN	899
ELLEGAARD	899
HEIN	899
WANG	890
HERMANN	879
SKJØDT	877
ROED	874
MARK	871
SMED	870
BIDSTRUP	868
KIRKEBY	867
NØHR	867
TØNNESEN	865
VEDEL	862
MOHAMMAD	861
SMEDEGAARD	860
KOEFOED	857
TERP	854
YILDIRIM	853
MATHIASSEN	852
YDE	851
FOGED	850
DAMKJÆR	848
STAGE	842
TANG	842
LORENTSEN	840
BOYE	837
WESTH	835
KRABBE	832
BILLE	830
KAYA	829
JUNKER	828
ROSE	828
HOLMBERG	827
ROSENDAL	826
SINGH	825
LERCHE	821
LINDHARDT	816
ELIASEN	815
SAMUELSEN	815
BORCH	813
BÜLOW	812
HAAHR	812
STOUGAARD	811
BUSCH	810
KLOSTER	809
FROM	808
SALLING	806
NORUP	805
DISSING	804
HERTZ	804
LINDE	804
KRÜGER	801
ERNST	799
